2021-12-14T00:01:00,mbh,303.00
2021-12-14T00:02:00,mbh,310.00
2021-12-14T00:03:00,mbh,290.00
2021-12-14T00:04:00,mbh,285.00
2021-12-14T00:05:00,mbh,282.00
2021-12-14T00:06:00,mbh,281.00
2021-12-14T00:07:00,mbh,296.00
2021-12-14T00:08:00,mbh,280.00
2021-12-14T00:09:00,mbh,305.00
2021-12-14T00:10:00,mbh,289.00
2021-12-14T00:11:00,mbh,292.00
2021-12-14T00:12:00,mbh,284.00
2021-12-14T00:13:00,mbh,305.00
2021-12-14T00:14:00,mbh,281.00
2021-12-14T00:15:00,mbh,313.00
2021-12-14T00:16:00,mbh,282.00
2021-12-14T00:17:00,mbh,289.00
2021-12-14T00:18:00,mbh,291.00
2021-12-14T00:19:00,mbh,294.00
2021-12-14T00:20:00,mbh,289.00
2021-12-14T00:21:00,mbh,282.00
2021-12-14T00:22:00,mbh,307.00
2021-12-14T00:23:00,mbh,286.00
2021-12-14T00:24:00,mbh,286.00
2021-12-14T00:25:00,mbh,288.00
2021-12-14T00:26:00,mbh,290.00
2021-12-14T00:27:00,mbh,288.00
2021-12-14T00:28:00,mbh,284.00
2021-12-14T00:29:00,mbh,309.00
2021-12-14T00:30:00,mbh,289.00
2021-12-14T00:31:00,mbh,314.00
2021-12-14T00:32:00,mbh,286.00
2021-12-14T00:33:00,mbh,291.00
2021-12-14T00:34:00,mbh,301.00
2021-12-14T00:35:00,mbh,303.00
2021-12-14T00:36:00,mbh,278.00
2021-12-14T00:37:00,mbh,283.00
2021-12-14T00:38:00,mbh,283.00
2021-12-14T00:39:00,mbh,297.00
2021-12-14T00:40:00,mbh,280.00
2021-12-14T00:41:00,mbh,290.00
2021-12-14T00:42:00,mbh,286.00
2021-12-14T00:43:00,mbh,309.00
2021-12-14T00:44:00,mbh,325.00
2021-12-14T00:45:00,mbh,279.00
2021-12-14T00:46:00,mbh,283.00
2021-12-14T00:47:00,mbh,284.00
2021-12-14T00:48:00,mbh,300.00
2021-12-14T00:49:00,mbh,308.00
2021-12-14T00:50:00,mbh,307.00
2021-12-14T00:51:00,mbh,296.00
2021-12-14T00:52:00,mbh,272.00
